date,variable,forecast_original
2002-04-01,gdp,150468.59305934896
2002-07-01,gdp,152432.61299072308
2002-10-01,gdp,151779.3501765779
2003-01-01,gdp,151025.32620336115
2003-04-01,gdp,150334.43930021592
2003-07-01,gdp,150701.03334902832
2003-10-01,gdp,149452.76687837497
2004-01-01,gdp,149751.72896283996
2004-04-01,gdp,150199.2461202487
2004-07-01,gdp,152177.15730050695
2004-10-01,gdp,150988.90257227118
2005-01-01,gdp,149727.48285282296
2005-04-01,gdp,149727.49830804294
2005-07-01,gdp,150200.1200005414
2005-10-01,gdp,149003.44757944005
2006-01-01,gdp,149703.4897099036
2006-04-01,gdp,151613.12982662272
2006-07-01,gdp,152609.95858139408
2006-10-01,gdp,151667.1367170911
2007-01-01,gdp,152186.02715878957
2007-04-01,gdp,152104.15185134308
2007-07-01,gdp,153153.59879872703
2007-10-01,gdp,151227.25608520012
2008-01-01,gdp,150868.97853181022
2008-04-01,gdp,151684.61628982978
2008-07-01,gdp,153578.99727328823
2008-10-01,gdp,152521.8898159221
2009-01-01,gdp,148755.56314590102
2009-04-01,gdp,147580.7363739395
2009-07-01,gdp,148917.3332418053
2009-10-01,gdp,149177.1227496419
2010-01-01,gdp,149483.60083722338
2010-04-01,gdp,150152.78043288918
2010-07-01,gdp,152041.0028558544
2010-10-01,gdp,150374.1205014859
2011-01-01,gdp,152396.58017284222
2011-04-01,gdp,154074.52208692813
2011-07-01,gdp,154876.35654283396
2011-10-01,gdp,152668.64272099195
2012-01-01,gdp,153609.89663730934
2012-04-01,gdp,155471.95973534766
2012-07-01,gdp,157032.70415289555
2012-10-01,gdp,156713.8248117085
2013-01-01,gdp,155691.8743664479
2013-04-01,gdp,154528.24108307
2013-07-01,gdp,155581.84490269647
2013-10-01,gdp,155444.05973030938
2014-01-01,gdp,154928.2044919264
2014-04-01,gdp,157037.94873137982
2014-07-01,gdp,158936.85057514813
2014-10-01,gdp,157405.91449617516
2015-01-01,gdp,157886.03276204425
2015-04-01,gdp,158177.35938469175
2015-07-01,gdp,159873.265442094
2015-10-01,gdp,159929.8344123026
2016-01-01,gdp,160573.95727884033
2016-04-01,gdp,162987.717591319
2016-07-01,gdp,166105.7068017408
2016-10-01,gdp,165856.15527553292
2017-01-01,gdp,167916.41525265158
2017-04-01,gdp,167934.71623464997
2017-07-01,gdp,171063.75109737582
2017-10-01,gdp,173527.43595937564
2018-01-01,gdp,174002.755734393
2018-04-01,gdp,179068.0914783351
2018-07-01,gdp,182159.34384165093
2018-10-01,gdp,180075.41358317118
2019-01-01,gdp,181094.74796358097
2019-04-01,gdp,182272.40497972263
2019-07-01,gdp,185972.25774957164
2019-10-01,gdp,184171.08969914325
2020-01-01,gdp,184785.38775556578
2020-04-01,gdp,183687.771636594
2020-07-01,gdp,180119.7090949387
2020-10-01,gdp,181809.11425910602
2021-01-01,gdp,182224.1264610755
2021-04-01,gdp,182270.6643662849
2021-07-01,gdp,186590.6816375679
2021-10-01,gdp,185359.71633552748
2022-01-01,gdp,186018.69270276438
2022-04-01,gdp,191072.91784332393
2022-07-01,gdp,193277.54242255897
2022-10-01,gdp,194690.25478691785
2023-01-01,gdp,192547.4171332821
2023-04-01,gdp,189895.7904208079
2023-07-01,gdp,188605.6142150022
2023-10-01,gdp,186033.04404957328
2024-01-01,gdp,185451.52638568234
2024-04-01,gdp,185386.61114670208
2024-07-01,gdp,186621.83508062514
2024-10-01,gdp,184298.63294637686
2002-04-01,cpi,97.85701124663129
2002-07-01,cpi,97.82588512364052
2002-10-01,cpi,97.80814049997117
2003-01-01,cpi,97.3942756736776
2003-04-01,cpi,96.99161918317884
2003-07-01,cpi,96.98584798201534
2003-10-01,cpi,97.20717705038837
2004-01-01,cpi,97.43666714760103
2004-04-01,cpi,98.2006675422021
2004-07-01,cpi,98.50552383826148
2004-10-01,cpi,98.34915664832735
2005-01-01,cpi,98.56295794168967
2005-04-01,cpi,98.93729136618175
2005-07-01,cpi,99.2867765194504
2005-10-01,cpi,99.67069938365782
2006-01-01,cpi,99.9079830176625
2006-04-01,cpi,100.78848777460716
2006-07-01,cpi,101.21711949230723
2006-10-01,cpi,101.89338811818368
2007-01-01,cpi,102.740847208604
2007-04-01,cpi,104.00842057382476
2007-07-01,cpi,104.83251275495213
2007-10-01,cpi,105.30066827957035
2008-01-01,cpi,105.62287328968647
2008-04-01,cpi,105.97131107432016
2008-07-01,cpi,106.23883893989058
2008-10-01,cpi,106.1354298390336
2009-01-01,cpi,105.511999933792
2009-04-01,cpi,105.60891544685494
2009-07-01,cpi,105.51367058068269
2009-10-01,cpi,105.78051060936548
2010-01-01,cpi,105.93943095097181
2010-04-01,cpi,105.92699455813225
2010-07-01,cpi,105.9821974040334
2010-10-01,cpi,106.15773675537295
2011-01-01,cpi,106.30113772330822
2011-04-01,cpi,107.03290624314486
2011-07-01,cpi,107.07402973828678
2011-10-01,cpi,106.23444546893765
2012-01-01,cpi,105.98852730328049
2012-04-01,cpi,106.14439669389913
